,10m_critical_power,10m_critical_power_hr,10m_peak_wpk,10s_critical_power,10s_peak_wpk,15s_critical_power,15s_peak_wpk,1m_critical_power,1m_critical_power_hr,1m_peak_wpk,1s_critical_power,1s_peak_wpk,20m_critical_power,20m_critical_power_hr,20m_peak_wpk,20s_critical_power,20s_peak_wpk,2m_critical_power,30m_critical_power,30m_critical_power_hr,30m_peak_wpk,30s_critical_power,30s_peak_wpk,3m_critical_power,5m_critical_power,5m_critical_power_hr,5m_peak_wpk,5s_critical_power,5s_peak_wpk,60m_critical_power,60m_critical_power_hr,60m_peak_wpk,8m_critical_power,90m_critical_power,HRV_Recovery_Points,Rest_AVNN,Rest_HF,Rest_HR,Rest_LF,Rest_PNN50,Rest_SDNN,Rest_rMSSD,a_coggan_tss,a_friel_efficiency_factor,a_skiba_bike_score,a_skiba_response_index,a_skiba_variability_index,activity_crc,aerobic_decoupling,antiss_score,ap_percent_max,athlete_weight,atiss_score,average_speed,average_temp,best_1000m,best_100m,best_10km,best_1500m,best_15km,best_2000m,best_200m,best_20km,best_3000m,best_30km,best_4000m,best_400m,best_40km,best_5000m,best_500m,best_50m,best_800m,best_Marathon,best_half_marathon,coggan_tss,cp_setting,cpsolver_best_r,daniels_equivalent_power,daniels_points,data,date,distance_swim,elevation_gain,elevation_gain_carrying,elevation_loss,eoa,friel_efficiency_factor,gradient,heartbeats,hrnp,hrpw,l3_sustain,l4_sustain,l5_sustain,l6_sustain,l7_sustain,max_cadence,max_ct,max_heartrate,max_power,max_run_cadence,max_speed,max_temp,maxpowervariance,meanpowervariance,min_heartrate,min_temp,ninety_five_percent_hr,pace,pace_swim,peak_percent,power_fatigue_index,power_pacing_index,power_zone,ride_count,session_rpe,skiba_bike_score,skiba_response_index,skiba_variability_index,skiba_wprime_low,skiba_wprime_matches,skiba_wprime_max,skiba_wprime_maxmatch,skiba_wprime_tau,sport,time_carrying,time_in_zone_H1,time_in_zone_H2,time_in_zone_H3,time_in_zone_H4,time_in_zone_H5,time_in_zone_L1,time_in_zone_L2,time_in_zone_L3,time_in_zone_L4,time_in_zone_L5,time_in_zone_L6,time_in_zone_L7,time_in_zone_P1,time_in_zone_P2,time_in_zone_P3,time_in_zone_P4,time_in_zone_P5,time_in_zone_P6,time_riding,tiss_delta,total_distance,total_kcalories,total_work,trimp_100_points,trimp_points,trimp_zonal_points,triscore,vam,wattsRPE,wb,wcptime_in_zone_L1,wcptime_in_zone_L2,wcptime_in_zone_L3,wcptime_in_zone_L4,workout_time,wtime_in_zone_L1,wtime_in_zone_L2,wtime_in_zone_L3,wtime_in_zone_L4,wwork_in_zone_L1,wwork_in_zone_L2,wwork_in_zone_L3,wwork_in_zone_L4,VERSION,yob,gender,id,10m_critical_pace,10m_critical_pace_hr,10m_critical_pace_swim,10s_critical_pace,10s_critical_pace_swim,15s_critical_pace,15s_critical_pace_swim,1m_critical_pace,1m_critical_pace_hr,1m_critical_pace_swim,20m_critical_pace,20m_critical_pace_hr,20m_critical_pace_swim,20s_critical_pace,20s_critical_pace_swim,2m_critical_pace,2m_critical_pace_swim,30m_critical_pace,30m_critical_pace_hr,30m_critical_pace_swim,30s_critical_pace,30s_critical_pace_swim,3m_critical_pace,3m_critical_pace_swim,5m_critical_pace,5m_critical_pace_hr,5m_critical_pace_swim,60m_critical_pace,60m_critical_pace_hr,60m_critical_pace_swim,8m_critical_pace,8m_critical_pace_swim,90m_critical_pace,90m_critical_pace_swim,govss,govss_rtp,swimscore,swimscore_tp,average_lps,average_lte,average_rps,average_rte,filename,time,distance,speed,power,heartrate,cadence,torque,altitude,gps,slope,windspeed,temperature,pedal_data,moxy_O2,running_dynamics
0,251.50550,150.59933,3.75381,533.91320,7.96885,457.59720,6.82981,309.64838,145.86441,4.62162,578.20200,8.62988,227.71803,146.31776,3.39878,389.62135,5.81524,298.74828,205.05917,140.67815,3.06058,385.93120,5.76017,284.27634,269.64126,150.45819,4.02450,572.78400,8.54901,161.50194,142.89997,2.41048,257.03494,141.25841,,,,,,,,,78.30135,1.29080,73.11325,1.24731,1.34744,1505218055042.00000,44.98635,3.30945,11.75163,67.00000,72.89390,29.19395,-255.00000,1.05000,0.10000,15.36667,1.60000,25.38333,2.21667,0.20000,35.73333,4.10000,53.00000,5.71667,0.40000,74.83333,7.28333,0.50000,0.05000,0.83333,79.03333,37.63333,77.38521,265.00000,-255.00000,175.40965,30.94962,TDSPHC-AGL-----,2017/09/12 12:07:13 UTC,47042.80000,516.30000,,518.80000,1.73559,1.26870,1.09751,13839.95000,1.26870,0.92569,,,34.00000,83.00000,30.00000,107.00000,38.93716,171.00000,578.20200,107.00000,69.48000,-255.00000,577.45600,63.66874,67.00000,-255.00000,165.00000,2.05522,0.20552,48.15989,100.00000,22.90564,1.11752,1.00000,,70.63828,1.22601,1.32444,8.81012,6.00000,65.31448,2.78700,424.00000,Bike,5.00000,539.00000,1824.00000,2295.00000,1146.00000,,3658.00000,905.00000,373.00000,305.00000,189.00000,199.00000,175.00000,44.00000,6.00000,8.00000,20.00000,72.00000,5654.00000,5804.00000,95.65708,47.04280,1260.92265,768.68693,87.39595,143.26518,125.62500,70.63828,320.24121,,106.38589,324.00000,121.00000,211.00000,,5804.00000,4880.00000,375.00000,549.00000,,560.05900,76.35800,133.37900,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_12_12_07_13.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
1,260.30000,153.36394,3.88507,514.00000,7.67164,480.80000,7.17612,308.60000,138.10169,4.60597,664.00000,9.91045,237.92667,148.32694,3.55114,449.10000,6.70299,272.85000,208.33667,140.37243,3.10950,381.26667,5.69055,271.01111,268.20000,150.10033,4.00299,559.60000,8.35224,172.25278,132.95471,2.57094,262.92917,149.87111,,,,,,,,,84.81420,1.52944,81.67252,1.50085,1.30533,1505351574955.00000,41.22929,0.61838,13.28593,67.00000,63.51344,25.05896,-255.00000,1.03333,0.10000,16.85000,1.58333,29.48333,2.11667,0.20000,41.03333,3.35000,67.81667,4.90000,0.40000,,6.86667,0.51667,0.05000,0.81667,,43.58333,83.94849,265.00000,-255.00000,192.22924,41.55533,TDSPHC-AGL-----,2017/09/14 01:12:34 UTC,37595.40000,395.00000,3.10000,307.30000,1.63029,1.50439,1.05066,11731.28333,1.50439,1.14978,,870.00000,,39.00000,,141.00000,38.34864,165.00000,664.00000,141.00000,62.64000,-255.00000,590.00000,36.44254,56.00000,-255.00000,159.00000,2.39435,0.23944,54.45307,99.69880,22.55007,2.00482,1.00000,,78.98704,1.47597,1.28369,17.71167,1.00000,30.26901,3.96500,462.00000,Bike,74.00000,1651.00000,1234.00000,2413.00000,107.00000,,2401.00000,1127.00000,850.00000,664.00000,261.00000,73.00000,29.00000,132.00000,23.00000,17.00000,29.00000,74.00000,5130.00000,5403.00000,99.03577,37.59540,999.37253,809.30400,60.50726,99.18747,99.21500,78.98704,263.08973,,94.94175,455.00000,62.00000,,,5405.00000,5200.00000,205.00000,,,778.06300,51.78900,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_14_01_12_34.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
2,196.88667,157.60601,2.93861,450.80000,6.72836,419.46667,6.26070,254.33333,159.28814,3.79602,698.00000,10.41791,173.78833,160.53044,2.59386,343.70000,5.12985,223.05000,159.74222,147.37688,2.38421,284.13333,4.24080,219.47778,212.84000,158.60870,3.17672,532.40000,7.94627,152.69667,149.00139,2.27905,207.20417,136.81407,,,,,,,,,62.48773,1.17553,62.44854,1.17516,1.26818,1505391254528.00000,-3.02735,3.54406,11.73217,67.00000,90.51422,27.74645,-255.00000,0.98333,0.10000,15.25000,1.53333,26.35000,2.15000,0.18333,36.26667,3.71667,58.26667,5.15000,0.38333,80.58333,6.65000,0.48333,0.05000,0.76667,89.66667,38.00000,61.74758,265.00000,-255.00000,165.16305,23.32968,TDSPHC-AGL-----,2017/09/14 12:13:20 UTC,42899.10000,456.10000,,456.40000,1.70869,1.15532,1.06319,13348.43333,1.15532,0.92665,,,,,29.00000,149.00000,38.76380,168.00000,698.00000,149.00000,66.96000,-255.00000,698.00000,97.53506,78.00000,-255.00000,164.00000,2.16244,0.21624,48.10430,99.71347,18.94292,1.11732,1.00000,,60.32231,1.15498,1.24640,16.80203,2.00000,33.85026,2.10700,397.00000,Bike,21.00000,1171.00000,800.00000,2247.00000,1397.00000,,3821.00000,260.00000,184.00000,278.00000,331.00000,506.00000,235.00000,199.00000,7.00000,17.00000,84.00000,208.00000,5100.00000,5566.00000,96.23206,42.89910,1203.82406,742.42400,83.09212,136.21006,123.73833,60.32231,292.42386,,99.10197,797.00000,370.00000,,,5615.00000,4655.00000,960.00000,,,566.65500,180.26700,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_14_12_13_20.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
3,65.86667,104.02671,0.98308,347.40000,5.18507,278.00000,4.14925,129.66667,115.76271,1.93532,428.00000,6.38806,61.86667,103.48791,0.92338,287.70000,4.29403,116.18333,,,,203.80000,3.04179,101.35556,83.16667,110.03010,1.24129,385.20000,5.74925,,,,68.67500,,,,,,,,,,5.17076,0.83765,3.96358,0.73338,1.38352,1505485214002.00000,0.44749,0.01984,4.84474,67.00000,4.60686,23.92173,-255.00000,1.70000,0.15000,24.96667,2.78333,,3.78333,0.28333,,5.95000,,8.40000,0.60000,,10.56667,0.76667,0.08333,1.31667,,,5.16004,265.00000,-255.00000,75.83916,0.30689,TDSPHC-AGL-----,2017/09/15 14:19:11 UTC,10930.90000,6.20000,,118.00000,1.19561,0.82730,0.05672,3014.56667,,,,,,,,146.00000,37.31477,138.00000,428.00000,146.00000,43.92000,-255.00000,428.00000,49.31583,71.00000,-255.00000,128.00000,2.50818,0.25082,14.91898,99.06542,12.75706,1.04845,1.00000,,3.86902,0.72458,1.36691,23.84858,,6.10796,0.89500,380.00000,Bike,6.00000,1394.00000,362.00000,,,,1646.00000,60.00000,23.00000,4.00000,7.00000,15.00000,1.00000,178.00000,7.00000,10.00000,15.00000,35.00000,1511.00000,1647.00000,99.57129,10.93090,191.95682,95.87800,9.08269,14.88894,27.54667,3.86902,12.71071,,2.89031,24.00000,,,,1756.00000,1756.00000,,,,95.73100,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_15_14_19_11.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
4,175.96000,143.62104,2.62627,336.20000,5.01791,292.00000,4.35821,230.76667,136.93220,3.44428,896.00000,13.37313,173.21833,134.26355,2.58535,268.30000,4.00448,186.16667,170.88333,137.08783,2.55050,248.86667,3.71443,181.95556,178.28000,141.74916,2.66090,490.40000,7.31940,162.89722,140.25257,2.43130,174.65000,154.91889,,,,,,,,,79.03253,1.12554,76.32784,1.10611,1.12608,1505520383298.00000,13.45607,0.41617,11.60117,67.00000,61.51534,26.47953,-255.00000,1.68333,0.16667,19.00000,2.58333,28.68333,3.48333,0.33333,38.21667,5.38333,57.93333,7.48333,0.65000,77.60000,9.45000,0.81667,0.08333,1.33333,82.56667,40.36667,79.30288,265.00000,-255.00000,146.90939,22.67129,TDSPHC-AGL-----,2017/09/16 00:05:41 UTC,63514.10000,280.70000,6.20000,178.40000,0.98436,1.11470,0.44195,19748.38333,1.11470,0.98227,,,,,,116.00000,38.51712,158.00000,896.00000,116.00000,38.52000,-255.00000,896.00000,37.42156,60.00000,-255.00000,149.00000,2.26590,0.22659,47.97989,99.55357,14.59210,1.11601,1.00000,,74.87394,1.09553,1.11530,23.75432,,6.47907,1.05000,455.00000,Bike,113.00000,1320.00000,3973.00000,3609.00000,,,4608.00000,3373.00000,720.00000,133.00000,29.00000,28.00000,11.00000,630.00000,124.00000,127.00000,96.00000,81.00000,7844.00000,8641.00000,99.32801,63.51410,1660.79740,1163.89400,103.57689,169.79004,164.81833,74.87394,113.51606,,229.85025,94.00000,,,,8902.00000,8902.00000,,,,1159.68400,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_16_00_05_41.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
5,237.18333,162.27880,3.54005,675.40000,10.08060,580.80000,8.66866,397.33333,163.25424,5.93035,1150.00000,17.16418,231.97000,162.54712,3.46224,537.40000,8.02090,329.63333,216.08222,163.79044,3.22511,469.06667,7.00100,304.82222,257.32667,160.86288,3.84070,928.80000,13.86269,204.31444,160.71909,3.04947,243.75000,181.95667,,,,,,,,,211.47705,1.49043,185.43429,1.39565,1.37822,1505564687454.00000,23.89375,21.35083,12.60222,67.00000,207.94990,34.33048,-255.00000,1.20000,0.10000,13.81667,1.81667,21.71667,2.43333,0.21667,29.28333,3.86667,44.03333,5.21667,0.43333,60.30000,6.53333,0.55000,0.05000,0.95000,63.81667,30.83333,209.62889,265.00000,-255.00000,196.49595,94.98779,TDSPHC-AGL-----,2017/09/16 12:23:56 UTC,107874.00000,511.10000,,495.60000,1.59478,1.46710,0.47379,28600.11667,1.46710,1.01264,,,43.00000,592.00000,161.00000,242.00000,39.10149,182.00000,1150.00000,242.00000,61.92000,-255.00000,1150.00000,83.30846,73.00000,-255.00000,175.00000,1.74772,0.17477,52.80151,99.82609,12.35017,1.12602,1.00000,,179.67375,1.37380,1.35665,5.80753,23.00000,77.13570,8.93400,423.00000,Bike,33.00000,2541.00000,3325.00000,2628.00000,3711.00000,30.00000,6842.00000,1990.00000,1079.00000,757.00000,502.00000,519.00000,546.00000,1141.00000,12.00000,25.00000,29.00000,42.00000,10986.00000,11312.00000,90.68872,107.87400,2377.39060,1737.70000,159.86447,262.06033,277.83333,179.67375,150.38496,,496.98423,712.00000,859.00000,169.00000,8.00000,12235.00000,8582.00000,3196.00000,440.00000,17.00000,958.73700,660.02400,107.21600,6.39600,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_16_12_23_56.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
6,,105.26878,,,,,,,86.77119,,,,,115.31735,,,,,,115.93218,,,,,,110.54682,,,,,,,,,,,,,,,,,,,,,,1505697020344.00000,,,,67.00000,,10.16381,-255.00000,4.10000,0.30000,,6.76667,,10.10000,0.61667,,18.75000,,27.55000,1.30000,,35.46667,1.68333,0.13333,3.26667,,,,265.00000,-255.00000,,,TDS-HC-AGL-----,2017/09/18 01:09:46 UTC,5626.80000,148.57500,,69.07500,,,2.64049,5935.07500,,,,,,,,120.00000,37.79521,172.00000,,120.00000,24.12000,-255.00000,,,74.00000,-255.00000,156.00000,5.90330,0.59033,,,,,1.00000,,,,,,,,,,Bike,39.00000,1850.00000,771.00000,462.00000,70.00000,,,,,,,,,1825.00000,79.00000,102.00000,168.00000,277.00000,702.00000,2478.00000,,5.62680,350.69941,,17.98782,29.48682,53.45833,,169.63844,,,,,,,3153.00000,,,,,,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_18_01_09_46.csv,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False
7,,,,449.40000,6.70746,428.00000,6.38806,361.83333,115.40678,5.40050,792.00000,11.82090,,,,412.00000,6.14925,337.71667,,,,372.46667,5.55920,326.74444,311.54667,101.46488,4.64995,551.60000,8.23284,,,,,,,,,,,,,,13.09379,3.17014,12.59635,3.10934,1.04075,1505869996142.00000,28.66322,0.65918,25.57111,67.00000,15.93496,23.16784,-255.00000,2.48333,0.23333,,3.78333,,5.03333,0.45000,,,,,0.91667,,,1.15000,0.11667,1.96667,,,13.11488,265.00000,-255.00000,297.00763,15.51628,TDSPHC-AGL-----,2017/09/20 01:12:48 UTC,2265.30000,13.00000,,6.30000,1.05153,3.13678,0.57388,569.11667,,,,,281.00000,,,116.00000,37.02496,123.00000,792.00000,116.00000,27.36000,-255.00000,792.00000,66.85636,52.00000,-255.00000,123.00000,2.58980,0.25898,81.60324,97.72727,36.38718,5.01200,1.00000,,12.33258,3.07661,1.02979,7.64974,1.00000,69.88293,14.94300,453.00000,Bike,,224.00000,130.00000,,,,44.00000,10.00000,6.00000,42.00000,114.00000,113.00000,25.00000,5.00000,,2.00000,1.00000,,346.00000,354.00000,96.02764,2.26530,35.43751,102.01800,1.60629,2.63313,5.74333,12.33258,132.20339,,0.58060,119.00000,66.00000,95.00000,,354.00000,166.00000,69.00000,119.00000,,45.19300,24.31400,37.81100,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_20_01_12_48.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
8,277.38167,145.33055,4.14002,350.80000,5.23582,336.46667,5.02189,315.01667,134.57627,4.70174,488.00000,7.28358,212.80417,140.00250,3.17618,327.25000,4.88433,296.32500,228.89944,149.11951,3.41641,319.60000,4.77015,288.62778,283.41000,148.56856,4.23000,392.40000,5.85672,205.53667,149.32537,3.06771,282.55208,196.76796,,,,,,,,,117.84065,1.50629,115.79173,1.49314,1.17680,1505870431184.00000,15.54097,0.20895,16.25446,67.00000,93.67348,27.16013,-255.00000,1.36667,0.13333,18.73333,2.06667,27.71667,2.85000,0.25000,38.41667,4.63333,58.71667,6.30000,0.50000,84.11667,7.96667,0.65000,0.06667,1.08333,90.06667,41.10000,116.85755,265.00000,-255.00000,212.24306,71.99786,TDSPHC-AGL-----,2017/09/20 01:19:48 UTC,47507.60000,486.60000,,389.60000,1.56621,1.48302,1.02426,15157.21667,1.48302,1.26881,,12.00000,689.00000,,,120.00000,38.89309,182.00000,488.00000,120.00000,51.48000,-255.00000,393.00000,31.19774,50.00000,-255.00000,172.00000,2.20912,0.22091,67.53495,99.79508,37.53849,2.03889,1.00000,,112.23897,1.47006,1.15861,11.49989,3.00000,54.72485,4.69700,503.00000,Bike,1.00000,371.00000,3015.00000,1023.00000,1889.00000,1.00000,2099.00000,1779.00000,649.00000,972.00000,551.00000,237.00000,12.00000,24.00000,4.00000,,26.00000,59.00000,6186.00000,6299.00000,99.77743,47.50760,1389.10658,1153.90000,97.64830,160.07150,144.35000,112.23897,278.10129,,174.89912,806.00000,259.00000,22.00000,,6299.00000,5621.00000,635.00000,43.00000,,1021.89900,153.47000,12.63100,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_20_01_19_48.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
9,232.36167,150.85643,3.46808,498.10000,7.43433,405.53333,6.05274,313.76667,146.38983,4.68308,810.00000,12.08955,229.23417,150.59466,3.42141,378.00000,5.64179,281.51667,228.91167,149.52474,3.41659,327.00000,4.88060,259.30000,245.36333,147.40134,3.66214,628.80000,9.38507,227.03111,145.65324,3.38852,237.59167,218.47685,,,,,,,,,118.31338,1.57404,117.12543,1.56612,1.08295,1505909127434.00000,7.39853,1.29452,17.74208,67.00000,101.31435,29.14523,-255.00000,1.35000,0.13333,17.41667,2.05000,26.48333,2.83333,0.26667,35.38333,4.33333,56.00000,5.88333,0.53333,77.18333,7.28333,0.66667,0.06667,1.08333,82.28333,37.80000,117.40535,265.00000,-255.00000,213.26058,73.57491,TDSPHC-AGL-----,2017/09/20 12:05:03 UTC,51109.40000,345.60000,,345.80000,1.50543,1.55024,0.67620,14552.36667,1.55024,1.44616,,,,62.00000,,218.00000,38.69658,189.00000,810.00000,218.00000,49.68000,-255.00000,810.00000,27.05241,76.00000,-255.00000,155.00000,2.05866,0.20587,73.57654,99.75309,24.68559,3.00210,1.00000,,113.60552,1.54241,1.06655,19.06919,2.00000,24.92443,2.37100,584.00000,Bike,2.00000,488.00000,2888.00000,2816.00000,107.00000,16.00000,855.00000,1277.00000,2768.00000,1230.00000,135.00000,29.00000,21.00000,26.00000,10.00000,14.00000,23.00000,32.00000,6210.00000,6315.00000,98.73840,51.10940,1295.62501,1262.70500,85.29680,139.82411,121.48667,113.60552,197.01663,,183.75346,346.00000,,,,6315.00000,6315.00000,,,,1288.61300,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017_09_20_12_05_03.csv,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
